month,mean
1951-01,-1.1
1951-02,2.5
1951-03,2.8
1951-04,10.1
1951-05,15.0
1951-06,24.3
1951-07,23.1
1951-08,18.1
1951-09,10.3
1951-10,2.8
1951-11,-3.3
1951-12,-2.2
1952-01,-1.9
1952-02,0.7
1952-03,11.0
1952-04,15.9
1952-05,19.9
1952-06,23.7
1952-07,24.6
1952-08,20.1
1952-09,14.2
1952-10,1.3
1952-11,0.0
1952-12,4.2
1953-01,2.8
1953-02,6.2
1953-03,8.0
1953-04,11.6
1953-05,19.5
1953-06,25.8
1953-07,24.3
1953-08,20.2
1953-09,12.3
1953-10,7.8
1953-11,-1.1
1953-12,1.3
1954-01,2.4
1954-02,3.6
1954-03,12.1
1954-04,16.4
1954-05,18.7
1954-06,25.7
1954-07,22.9
1954-08,18.2
1954-09,11.3
1954-10,6.8
1954-11,-0.4
1954-12,-6.1
1955-01,-4.3
1955-02,2.8
1955-03,7.6
1955-04,13.8
1955-05,19.1
1955-06,24.2
1955-07,24.6
1955-08,18.3
1955-09,11.6
1955-10,2.3
1955-11,2.8
1955-12,1.9
1956-01,-3.1
1956-02,5.8
1956-03,10.1
1956-04,16.3
1956-05,20.9
1956-06,24.7
1956-07,22.6
1956-08,19.6
1956-09,11.2
1956-10,1.3
1956-11,-1.1
1956-12,-3.3
1957-01,4.6
1957-02,5.9
1957-03,9.3
1957-04,14.3
1957-05,19.5
1957-06,25.2
1957-07,24.7
1957-08,18.2
1957-09,11.4
1957-10,1.5
1957-11,0.6
1957-12,-0.7
1958-01,5.4
1958-02,3.9
1958-03,8.6
1958-04,18.4
1958-05,21.5
1958-06,24.1
1958-07,25.4
1958-08,18.7
1958-09,13.1
1958-10,3.9
1958-11,2.4
1958-12,1.1
1959-01,2.4
1959-02,5.2
1959-03,11.1
1959-04,13.3
1959-05,22.1
1959-06,25.1
1959-07,23.5
1959-08,16.7
1959-09,10.8
1959-10,3.2
1959-11,-2.3
1959-12,-3.6
1960-01,-1.8
1960-02,5.8
1960-03,10.4
1960-04,15.0
1960-05,21.8
1960-06,27.4
1960-07,23.6
1960-08,20.2
1960-09,11.2
1960-10,4.7
1960-11,-1.3
1960-12,-1.7
1961-01,3.4
1961-02,6.2
1961-03,10.1
1961-04,16.1
1961-05,23.8
1961-06,27.0
1961-07,25.6
1961-08,15.7
1961-09,10.1
1961-10,2.0
1961-11,-2.1
1961-12,-6.3
1962-01,-0.3
1962-02,1.8
1962-03,11.7
1962-04,14.9
1962-05,20.2
1962-06,24.6
1962-07,22.8
1962-08,18.8
1962-09,13.0
1962-10,5.4
1962-11,-2.0
1962-12,-6.8
1963-01,3.7
1963-02,4.2
1963-03,7.0
1963-04,15.9
1963-05,17.4
1963-06,25.6
1963-07,25.7
1963-08,19.9
1963-09,14.4
1963-10,9.4
1963-11,-4.2
1963-12,-5.4
1964-01,-3.4
1964-02,0.0
1964-03,7.7
1964-04,13.3
1964-05,17.3
1964-06,25.4
1964-07,22.3
1964-08,16.4
1964-09,11.7
1964-10,3.4
1964-11,0.7
1964-12,-1.0
1965-01,0.6
1965-02,2.7
1965-03,10.4
1965-04,12.6
1965-05,18.2
1965-06,23.9
1965-07,21.6
1965-08,14.3
1965-09,12.7
1965-10,7.8
1965-11,-1.0
1965-12,-0.8
1966-01,-1.4
1966-02,5.3
1966-03,9.8
1966-04,17.1
1966-05,20.7
1966-06,26.7
1966-07,23.4
1966-08,19.8
1966-09,9.9
1966-10,6.3
1966-11,-1.6
1966-12,-1.3
1967-01,3.1
1967-02,6.8
1967-03,8.0
1967-04,13.5
1967-05,18.2
1967-06,25.9
1967-07,26.0
1967-08,19.3
1967-09,11.4
1967-10,6.2
1967-11,-3.8
1967-12,-4.2
1968-01,3.4
1968-02,7.1
1968-03,7.4
1968-04,13.6
1968-05,19.7
1968-06,25.7
1968-07,20.8
1968-08,20.8
1968-09,10.9
1968-10,3.6
1968-11,-2.7
1968-12,0.2
1969-01,-1.8
1969-02,3.6
1969-03,10.2
1969-04,17.8
1969-05,18.2
1969-06,24.8
1969-07,25.3
1969-08,20.9
1969-09,8.7
1969-10,4.2
1969-11,0.2
1969-12,1.4
1970-01,4.7
1970-02,4.8
1970-03,6.7
1970-04,14.9
1970-05,19.8
1970-06,24.8
1970-07,25.3
1970-08,15.0
1970-09,8.4
1970-10,5.9
1970-11,-1.6
1970-12,0.2
1971-01,1.6
1971-02,4.8
1971-03,9.0
1971-04,13.7
1971-05,19.7
1971-06,24.7
1971-07,24.9
1971-08,15.5
1971-09,8.6
1971-10,3.1
1971-11,-2.8
1971-12,-1.2
1972-01,3.2
1972-02,8.3
1972-03,8.9
1972-04,15.8
1972-05,22.2
1972-06,25.1
1972-07,24.3
1972-08,17.7
1972-09,12.0
1972-10,4.1
1972-11,-5.2
1972-12,-7.0
1973-01,0.2
1973-02,5.4
1973-03,8.7
1973-04,16.4
1973-05,21.2
1973-06,24.8
1973-07,24.8
1973-08,16.4
1973-09,12.3
1973-10,4.7
1973-11,0.8
1973-12,-2.9
1974-01,-0.3
1974-02,7.3
1974-03,8.9
1974-04,14.9
1974-05,23.0
1974-06,26.2
1974-07,23.4
1974-08,19.2
1974-09,12.6
1974-10,6.3
1974-11,-0.2
1974-12,-2.6
1975-01,1.9
1975-02,5.1
1975-03,6.8
1975-04,12.4
1975-05,18.2
1975-06,26.0
1975-07,23.0
1975-08,18.6
1975-09,11.9
1975-10,2.9
1975-11,0.5
1975-12,-2.3
1976-01,1.1
1976-02,3.3
1976-03,9.6
1976-04,19.8
1976-05,25.9
1976-06,22.4
1976-07,19.1
1976-09,10.6
1976-10,5.4
1976-11,-1.4
1976-12,-2.9
1977-01,2.1
1977-02,3.2
1977-03,12.3
1977-04,12.8
1977-05,25.2
1977-06,23.9
1977-07,19.1
1977-08,13.1
1977-09,5.8
1977-10,3.3
1977-11,2.4
1977-12,4.3
1978-01,8.9
1978-02,10.0
1978-03,13.3
1978-04,20.7
1978-05,23.3
1978-06,17.8
1978-08,13.1
1978-09,-2.9
1978-10,-5.5
1978-11,0.3
1978-12,6.2
1979-01,10.6
1979-02,15.8
1979-03,21.1
1979-04,26.1
1979-05,24.2
1979-06,21.9
1979-07,13.7
1979-08,2.5
1979-09,0.5
1979-10,0.9
1979-11,2.2
1979-12,5.3
1980-01,11.5
1980-02,13.9
1980-03,19.7
1980-04,25.3
1980-05,23.4
1980-06,19.1
1980-07,11.4
1980-08,5.2
1980-09,0.9
1980-10,0.1
1980-11,3.5
1980-12,6.7
1981-01,11.9
1981-02,14.2
1981-09,17.6
1981-10,9.3
1981-11,6.7
1981-12,1.8
1982-01,-4.6
1982-02,1.1
1982-03,5.2
1982-04,7.3
1982-05,12.7
1982-06,18.8
1982-07,21.2
1982-08,22.7
1982-09,15.6
1982-10,10.5
1982-11,2.5
1982-12,0.2
1983-01,2.2
1983-02,5.3
1983-03,7.0
1983-04,8.4
1983-05,13.7
1983-06,17.8
1983-07,20.7
1983-08,23.8
1983-09,16.0
1983-10,12.1
1983-11,5.4
1983-12,-4.9
1984-01,-6.0
1984-02,-1.0
1984-03,5.5
1984-04,7.7
1984-05,12.7
1984-06,16.5
1984-07,23.3
1984-08,24.2
1984-09,15.6
1984-10,9.9
1984-11,3.9
1984-12,-3.9
1985-01,-7.2
1985-02,-3.5
1985-03,2.2
1985-04,10.9
1985-05,14.7
1985-06,19.6
1985-07,25.4
1985-08,20.7
1985-09,13.6
1985-10,9.1
1985-11,-2.4
1985-12,-5.8
1986-01,-1.4
1986-02,5.0
1986-03,8.9
1986-04,9.1
1986-05,15.1
1986-06,22.2
1986-07,21.0
1986-08,24.4
1986-09,14.4
1986-10,11.7
1986-11,4.4
1986-12,-2.2
1987-01,-2.2
1987-02,3.3
1987-03,6.7
1987-04,13.3
1987-05,16.9
1987-06,21.2
1987-07,21.8
1987-08,21.1
1987-09,18.8
1987-10,12.8
1987-11,5.0
1987-12,0.6
1988-01,-3.3
1988-02,3.3
1988-03,6.0
1988-04,11.5
1988-05,14.4
1988-06,21.5
1988-07,23.7
1988-08,22.0
1988-09,16.5
1988-10,15.5
1988-11,4.8
1988-12,-2.8
1989-01,-4.1
1989-02,-4.9
1989-03,6.5
1989-04,11.7
1989-05,13.5
1989-06,20.3
1989-07,25.0
1989-08,21.1
1989-09,17.4
1989-10,10.7
1989-11,4.1
1989-12,-0.9
1990-01,1.2
1990-02,1.2
1990-03,6.8
1990-04,12.6
1990-05,13.2
1990-06,19.4
1990-07,24.6
1990-08,23.3
1990-09,21.1
1990-10,10.6
1990-11,5.1
1990-12,-7.7
1991-01,-4.2
1991-02,5.3
1991-03,6.1
1991-04,9.1
1991-05,12.7
1991-06,17.0
1991-07,24.3
1991-08,24.8
1991-09,18.8
1991-10,11.0
1991-11,3.0
1991-12,-0.2
1992-01,0.6
1992-02,5.6
1992-03,9.4
1992-04,12.7
1992-05,17.9
1992-06,21.0
1992-07,21.9
1992-08,23.3
1992-09,17.4
1992-10,12.4
1992-11,1.4
1992-12,-1.9
1993-01,-4.0
1993-02,-1.7
1993-03,5.4
1993-04,8.9
1993-05,17.3
1993-06,16.6
1993-07,18.3
1993-08,20.3
1993-09,17.2
1993-10,11.8
1993-11,0.4
1993-12,0.7
1994-01,0.4
1994-02,1.5
1994-03,7.8
1994-04,11.4
1994-05,16.1
1994-06,19.9
1994-07,25.0
1994-08,24.5
1994-09,19.3
1994-10,10.2
1994-11,0.3
1994-12,-0.9
1995-01,2.4
1995-02,5.2
1995-03,6.4
1995-04,9.0
1995-05,13.8
1995-06,17.8
1995-07,23.0
1995-08,21.8
1995-09,18.7
1995-10,9.5
1995-11,6.9
1995-12,0.5
1996-01,0.3
1996-02,1.8
1996-03,6.8
1996-04,10.0
1996-05,13.0
1996-06,19.3
1996-07,24.9
1996-08,23.8
1996-09,16.5
1996-10,11.4
1996-11,5.3
1996-12,2.5
1997-01,0.2
1997-02,2.8
1997-03,7.5
1997-04,9.4
1997-05,17.2
1997-06,18.9
1997-07,22.6
1997-08,24.2
1997-09,19.9
1997-10,11.1
1997-11,6.1
1997-12,-0.4
1998-01,3.8
1998-02,4.5
1998-03,6.8
1998-04,9.9
1998-05,13.5
1998-06,17.5
1998-07,26.3
1998-08,24.9
1998-09,21.0
1998-10,10.7
1998-11,6.4
1998-12,-0.7
1999-01,1.7
1999-02,2.5
1999-03,6.4
1999-04,8.4
1999-05,13.2
1999-06,19.1
1999-07,23.3
1999-08,24.0
1999-09,17.8
1999-10,12.5
1999-11,8.3
1999-12,0.0
2000-01,1.3
2000-02,5.4
2000-03,6.3
2000-04,12.5
2000-05,15.4
2000-06,20.4
2000-07,24.5
2000-08,24.5
2000-09,17.2
2000-10,11.3
2000-11,0.3
2000-12,-0.4
2001-01,-2.6
2001-02,1.0
2001-03,7.7
2001-04,9.1
2001-05,16.5
2001-06,19.7
2001-07,23.6
2001-08,26.0
2001-09,20.2
2001-10,12.0
2001-11,6.7
2001-12,-0.7
2002-01,-0.2
2002-02,1.2
2002-03,4.9
2002-04,10.3
2002-05,15.2
2002-06,20.9
2002-07,26.5
2002-08,21.6
2002-09,18.4
2002-10,9.7
2002-11,4.8
2002-12,3.0
2003-01,3.7
2003-02,2.7
2003-03,8.1
2003-04,9.6
2003-05,14.9
2003-06,20.9
2003-07,27.0
2003-08,25.2
2003-09,19.4
